Time,L06_347,LS06_347,LS06_348
1/1/2009 0:00,0.137417,0.0975,0.016833
1/1/2009 3:00,0.13125,0.088833,0.016417
1/1/2009 6:00,0.1135,0.09125,0.01675
1/1/2009 9:00,0.13575,0.0915,0.01625
1/1/2009 12:00,0.140917,0.096167,0.017
1/1/2009 15:00,0.099167,0.091667,0.017583
1/1/2009 18:00,0.132667,0.090167,0.01625
1/1/2009 21:00,0.109417,0.091167,0.016
1/2/2009 0:00,0.133833,0.090417,0.016083
1/2/2009 3:00,0.092083,0.088667,0.016
1/2/2009 6:00,0.112917,0.091417,0.016333
1/2/2009 9:00,0.141917,0.097083,0.016417
1/2/2009 12:00,0.147833,0.101917,0.016417
1/2/2009 15:00,0.107917,0.10025,0.016417
1/2/2009 18:00,0.143583,0.098417,0.01675
1/2/2009 21:00,0.113083,0.098083,0.016833
1/3/2009 0:00,0.135833,0.092167,0.016833
1/3/2009 3:00,0.08325,0.08,0.016083
1/3/2009 6:00,0.119417,0.08025,0.015417
1/3/2009 9:00,0.124583,0.084417,0.015833
1/3/2009 12:00,0.091667,0.08825,0.01625
1/3/2009 15:00,0.125,0.084667,0.0165
1/3/2009 18:00,0.121583,0.082083,0.015833
1/3/2009 21:00,0.107167,0.0925,0.016
1/4/2009 0:00,0.13525,0.091167,0.016333
1/4/2009 3:00,0.135583,0.091583,0.016083
1/4/2009 6:00,0.117167,0.095167,0.016
1/4/2009 9:00,0.109,0.105167,0.018
1/4/2009 12:00,0.157417,0.11075,0.018417
1/4/2009 15:00,0.160417,0.11375,0.018417
12/29/2012 9:00,0.786833,0.786833,0.077
12/29/2012 12:00,0.72375,0.72375,0.072667
12/29/2012 15:00,0.690667,0.690667,0.069667
12/29/2012 18:00,0.663417,0.663417,0.069667
12/29/2012 21:00,0.735917,0.735917,0.072833
12/30/2012 0:00,0.753667,0.753667,0.061833
12/30/2012 3:00,0.663333,0.663333,0.073667
12/30/2012 6:00,0.796833,0.796833,0.095167
12/30/2012 9:00,0.916,0.916,0.101583
12/30/2012 12:00,1.465,1.465,0.086833
12/30/2012 15:00,1.314167,1.314167,0.085417
12/30/2012 18:00,1.239167,1.239167,0.098083
12/30/2012 21:00,1.06975,1.06975,0.101417
12/31/2012 0:00,0.973333,0.973333,0.085
12/31/2012 3:00,0.850833,0.850833,0.073917
12/31/2012 6:00,0.735917,0.735917,0.069417
12/31/2012 9:00,0.68275,0.68275,0.066583
12/31/2012 12:00,0.65125,0.65125,0.063833
12/31/2012 15:00,0.629,0.629,0.061833
12/31/2012 18:00,0.617333,0.617333,0.060583
12/31/2012 21:00,0.8465,0.8465,0.170167
1/1/2013 0:00,1.688333,1.688333,0.207333
1/1/2013 3:00,2.693333,2.693333,0.2015
1/1/2013 6:00,2.220833,2.220833,0.166917
1/1/2013 9:00,2.055,2.055,0.175667
1/1/2013 12:00,1.71,1.71,0.129583
1/1/2013 15:00,1.42,1.42,0.096333
1/1/2013 18:00,1.178583,1.178583,0.083083
1/1/2013 21:00,0.89825,0.89825,0.077167
1/2/2013 0:00,0.86,0.86,0.075
